,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
100,1,2,2.93,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,flaxible Work Life Balanced,Other
101,0,4,3.25,International Islamic University Chittagong (IIUC),2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,1,3,"Social Acceptance,Job Environment","Software Development,Teaching"
102,0,3,3.48,Hajee Mohammad Danesh Science & Technology University (HMDSTU),1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,Job Environment,Teaching
103,0,4,3.0,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,0,3,Social Acceptance,Govt Job
104,0,4,3.81,Hajee Mohammad Danesh Science & Technology University (HMDSTU),2,1,2,2,2,1,1,2,2,0,0,0,1,1,0,0,0,2,Job Environment,Teaching
105,0,4,3.25,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,1,0,4,"Social Acceptance,Job Security,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer"
106,0,4,3.3,Mawlana Bhashani Science & Technology University (MBSTU),1,3,3,3,3,3,3,2,3,1,2,2,1,1,1,1,0,4,"Social Acceptance,Job Environment,Salary",Software Development
107,1,4,3.51,Mawlana Bhashani Science & Technology University (MBSTU),2,2,3,2,2,2,2,1,2,1,1,2,1,1,0,1,0,2,Salary,Software Development
108,0,4,3.48,Mymensingh Engineering College ,2,1,2,0,0,2,1,2,2,0,0,0,0,1,0,0,0,2,"Job Security,Social Acceptance",Govt Job
109,0,4,3.48,University of Dhaka (DU),2,2,3,3,2,2,2,1,1,1,1,1,1,1,1,1,0,3,"Job Security,Salary,flaxible Work Life Balanced","Bank Job,BCS,Govt Job"
