,cgpa,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Job Environment,Job Security,Other Factor,Salary,Social Acceptance,flaxible Work Life Balanced,,Abroad,BCS,Bank Job,Business,Cyber Security,Data Analysis,Database Administration,Govt Job,ML/AI Engineer,Management,Networking,Other,Researcher,Software Development,Teaching
44,3.3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,3.41,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,2.83,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47,2.98,1,2,3,2,1,2,1,2,1,1,1,1,2,2,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
48,3.01,1,2,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
49,3.16,1,2,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
50,2.92,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,3.22,3,3,2,2,1,2,2,1,2,3,1,1,2,2,2,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1.6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,3.4,2,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
54,3.55,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
55,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
