,Personal Info,,,,,,soft_skills,,,,academic skills,,,,,,,,,,,,,,Influencing Factor,Prefer Job
Date,name,e-mail,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security,Maching Learning,Robotics,Research Skill,publication,project,Influencing Factor,Prefer Job
2024-04-24 16:27,,,Female,3rd,,American International University-Bangladesh (AIUB),Intermediate,Intermediate,Advance,Advance,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,1,2,"Social Acceptance,Job Security","BCS,Govt Job"
2024-04-24 16:30,,,Male,4th,3,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Intermediate,Intermediate,Intermediate,Advance,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,5,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","ML/AI Engineer,Teaching,Bank Job,BCS"
2024-04-24 16:39,,,Female,1st,3.13,United International University (UIU),Basic,Basic,Basic,Basic,Basic,Basic,,,,,,,,,,,,1,Salary,Software Development
2024-04-24 16:57,,,Female,1st,3.61,Daffodil International University (DIU),Basic,Basic,Intermediate,Basic,,,,,,,,,,,,,,,Salary,Other
2024-04-24 16:58,,,Male,2nd,3.65,United International University (UIU),Intermediate,Intermediate,Advance,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Basic,Basic,Advance,Basic,Basic,Basic,,0,5,"Social Acceptance,Job Environment,Salary",Software Development
2024-04-24 19:37,,,Female,4th,3.21,Bangabandhu Sheikh Mujibur Rahman Science & Technology University (BSMRSTU),Basic,Advance,Intermediate,Advance,Advance,Advance,Intermediate,Advance,Advance,Basic,Basic,Basic,Basic,Basic,Basic,Basic,0,3,"Job Environment,Salary","Software Development,Data Analysis"
2024-04-24 19:46,,,Male,3rd,3.5,United International University (UIU),,,,,,,,,,,,,,,,,,,,
2024-04-24 19:48,,,Male,3rd,3.5,United International University (UIU),Intermediate,Intermediate,Intermediate,Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,,,,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Management,Business"
2024-04-24 19:50,,,Male,1st,0,United International University (UIU),Intermediate,Basic,Advance,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,,0,Salary,Software Development
2024-04-24 20:06,,,Male,3rd,3.37,United International University (UIU),Intermediate,Intermediate,Basic,Intermediate,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,0,1,"Social Acceptance,Job Environment,Salary","Software Development,Networking"
2024-04-24 20:27,,,Female,1st,4,United International University (UIU),Basic,Basic,Intermediate,Intermediate,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,,Basic,,,,"Job Security,Job Environment","Cyber Security,Abroad"
2024-04-24 20:38,,,Male,3rd,3.47,United International University (UIU),Basic,Basic,Intermediate,Basic,Basic,Intermediate,Basic,Basic,Basic,Basic,Basic,Intermediate,Basic,Basic,Intermediate,Basic,0,1,Salary,Networking
